A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,D_TRA1_1_SPOT
,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,강원도 춘천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 속초시
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,가족/친지/친구 방문,,,,경기도 용인시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,경기도 남양주시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,,,,,,,,시티투어,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,전라북도 부안군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,서울특별시 강남구
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,전라남도 여수시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 하남시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 여주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라남도 목포시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,쇼핑,,,,,,,,,,,,,,서울특별시 강남구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,전라남도 여수시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,경기도 고양시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 포천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 인제군
,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 청주시
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 충주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경상북도 영주시
,,,,,,,,,,,,,,,,유흥/오락,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경상북도 울릉군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 부천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 동해시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 고성군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,전라남도 여수시
자연 및 풍경감상,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,강원도 철원군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 괴산군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 괴산군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 청주시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",휴식/휴양,,,,,,,,,,,,,,,,충청남도 청양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 횡성군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청북도 제천시
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,세종특별자치시 세종시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,충청남도 공주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,전라북도 무주군
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,지역 축제/이벤트 참가,,,,,,,,,교육/훈련/연수,,충청북도 괴산군
,,,,,휴식/휴양,,쇼핑,,,,,,,,,,가족/친지/친구 방문,,,기타,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,기타,충청북도 증평군
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,,,,,,,,,,지역 축제/이벤트 참가,교육/체험 프로그램 참가,,,,,,,,,,충청북도 괴산군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,쇼핑,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청북도 괴산군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,교육/체험 프로그램 참가,,,,,,,,,,전라북도 전주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 아산시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,대전광역시 동구
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,부산광역시 해운대구
자연 및 풍경감상,,,,,,,,,,지역 축제/이벤트 참가,,,,,,,,,,,충청북도 제천시
,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 음성군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청북도 제천시
,음식관광(지역 맛집 등),,,,,,쇼핑,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,충청북도 음성군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 시흥시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 이천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 안성시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,시티투어,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,지역 문화예술/공연/전시시설 관람,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,교육/체험 프로그램 참가,,,,,,,,,,충청북도 제천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청남도 보령시
자연 및 풍경감상,,"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 속초시
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,충청북도 보은군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,전라북도 무주군
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,충청북도 제천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,기타,충청북도 보은군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,기타,강원도 원주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,시티투어,,,가족/친지/친구 방문,,,,세종특별자치시 세종시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 공주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 진천군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,쇼핑,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,휴식/휴양,,,,,,,,,시티투어,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 청주시
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,전라남도 여수시
자연 및 풍경감상,,,,,,,,,,지역 축제/이벤트 참가,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,충청남도 공주시
,,,,,,,쇼핑,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 원주시
,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 여주시
,,,,,휴식/휴양,,,,,,,,,,,,,,,,서울특별시 은평구
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,서울특별시 동작구
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 원주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경상남도 하동군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,지역 축제/이벤트 참가,,,,,,,,,,,경상남도 하동군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,종교/성지순례,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 청주시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,쇼핑,,,,,,,,,,,,,,경기도 여주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경상북도 상주시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,전라북도 무주군
,,,,,,,,,,,,,,,,,,,,,충청북도 음성군
,,,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 제천시
,,,,,휴식/휴양,,,,,,,,,,,유흥/오락,,,,,충청남도 당진시
,,,,,,,,,,,,,,,,,,,,,
,,,역사 유적지 방문,,,,,,,,,,,,,,,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경상북도 김천시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,충청북도 청주시
,음식관광(지역 맛집 등),,,,휴식/휴양,,쇼핑,,,,,,,,,,,,,,충청남도 아산시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,전라북도 남원시
자연 및 풍경감상,,,,,휴식/휴양,,,,,,,,,,드라마 촬영지 방문,,,,,,충청북도 단양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,충청북도 청주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청북도 단양군
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,종교/성지순례,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,충청북도 괴산군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,,,,,휴식/휴양,,,지역 문화예술/공연/전시시설 관람,,,교육/체험 프로그램 참가,,,,,,,,,,제주특별자치도 서귀포시
,,,,,,,,,,,,종교/성지순례,,,,,,,,,충청북도 단양군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,전라북도 남원시
,,,,,,,,,,,,,,,,,,,,,충청북도 단양군
,,,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 원주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경상북도 문경시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,역사 유적지 방문,,휴식/휴양,,,,,,,,,,,,,,,,경상북도 경주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,강원도 속초시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경상북도 영덕군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,경상북도 경주시
,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,휴식/휴양,,,,,,,,,,,,,,,,전라북도 무주군
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 보령시
,,,,"테마파크, 놀이시설, 동/식물원 방문",,,,,,,,,,,,,,,,,전라남도 곡성군
자연 및 풍경감상,,,,,,,,,,,,종교/성지순례,,,,,,,,,강원도 원주시
